assessment_id,PM01,PM02,PM03,PM04,PM05,AUTH01,AUTH02,AUTH03,AUTH04,AUTH05,PHISH01,PHISH02,PHISH03,PHISH04,PHISH05,SOC01,SOC02,SOC03,SOC04,SOC05,password_length,has_uppercase,has_lowercase,has_number,has_symbol,common_pattern_detected,repeated_characters,estimated_entropy,password_score,strength_label,PM_category_score,AUTH_category_score,PHISH_category_score,SOC_category_score,behaviour_score,overall_risk_score,risk_probability,risk_level,is_synthetic
20,4,1,0,0,0,0,3,0,0,2,3,1,0,4,1,1,1,3,1,0,6,True,True,True,False,True,False,8.9,0.0,Weak,81.2,67.5,20.0,21.2,50.5,70.3,0.703,High,True
21,1,3,4,2,4,0,4,0,0,0,3,3,4,0,1,3,4,0,3,4,12,False,True,False,True,False,False,70.3,100.0,Strong,35.0,80.0,72.5,88.8,66.4,39.8,0.398,Low,True
22,3,2,4,1,0,4,4,0,4,2,1,3,0,0,1,4,2,0,4,4,7,False,True,True,False,False,True,25.3,27.2,Weak,41.2,62.5,60.0,90.0,61.0,65.7,0.657,Moderate,True
23,1,3,4,2,4,0,0,4,0,2,4,2,0,4,4,1,0,4,0,4,10,False,True,True,False,True,False,12.9,11.5,Weak,35.0,37.5,12.5,21.2,27.2,51.7,0.517,Moderate,True
24,4,1,4,1,4,0,4,4,0,0,3,1,4,4,4,3,3,2,3,4,5,False,True,True,False,False,False,25.8,38.0,Weak,66.2,65.0,37.5,73.8,60.2,60.9,0.609,Moderate,True
25,3,3,0,2,0,4,3,0,4,2,0,3,4,0,1,1,3,0,1,4,9,False,True,False,False,False,False,42.3,75.5,Strong,57.5,57.5,91.2,61.2,66.7,49.8,0.498,Moderate,True
26,4,2,0,1,4,4,2,0,0,3,3,3,0,4,2,2,3,2,3,4,4,False,True,True,True,False,False,24.3,40.5,Moderate,87.5,28.8,30.0,67.5,54.4,56.4,0.564,Moderate,True
27,0,3,4,4,4,4,2,4,4,3,2,4,4,4,0,0,0,2,3,0,11,True,True,False,True,False,False,70.3,100.0,Strong,18.8,33.8,72.5,25.0,37.2,22.3,0.223,Low,True
28,3,0,4,2,4,0,2,0,4,0,3,1,4,4,3,1,1,3,1,0,10,True,True,False,True,True,False,16.0,21.7,Weak,58.8,90.0,40.0,21.2,54.4,64.0,0.64,Moderate,True
29,2,2,4,1,4,0,3,0,0,2,3,1,0,4,4,3,2,3,2,4,10,False,True,True,True,True,True,10.7,2.8,Weak,50.0,67.5,12.5,58.8,46.8,67.0,0.67,Moderate,True
30,2,3,4,4,0,0,1,0,4,3,1,0,0,0,3,2,3,1,1,4,10,True,True,True,False,False,False,59.5,100.0,Strong,16.2,73.8,36.2,62.5,44.9,26.9,0.269,Low,True
31,0,4,4,4,0,0,2,0,0,3,2,1,0,4,3,1,1,4,1,0,10,False,True,True,True,False,False,60.9,100.0,Strong,0.0,58.8,21.2,16.2,23.2,13.9,0.139,Low,True
32,2,2,0,2,4,0,2,0,4,1,2,3,4,0,0,3,2,1,3,0,8,True,True,True,True,False,False,52.4,100.0,Strong,70.0,86.2,81.2,58.8,74.6,44.8,0.448,Moderate,True
33,2,2,4,2,0,4,1,0,4,0,2,2,0,0,1,1,4,2,3,0,8,True,True,True,False,False,False,47.6,94.3,Strong,30.0,55.0,47.5,51.2,44.9,29.2,0.292,Low,True
34,3,3,0,1,0,0,3,0,4,2,2,1,4,4,1,3,4,1,4,0,6,False,True,False,False,True,False,7.1,0.0,Weak,62.5,87.5,51.2,73.8,68.2,80.9,0.809,High,True
35,3,1,0,3,0,0,1,4,0,1,1,4,4,0,1,1,2,3,2,0,5,True,True,True,True,False,False,32.8,59.7,Moderate,60.0,46.2,91.2,31.2,58.6,51.3,0.513,Moderate,True
36,1,3,4,3,4,4,0,4,0,4,1,2,0,0,3,1,0,4,0,0,8,False,True,False,True,False,False,46.9,88.2,Strong,30.0,0.0,48.8,6.2,22.4,18.2,0.182,Low,True
37,3,2,4,3,4,0,3,4,0,2,3,3,4,0,3,3,1,2,3,0,10,False,True,False,False,False,True,32.9,49.8,Moderate,46.2,52.5,67.5,48.8,53.6,52.2,0.522,Moderate,True
38,1,4,4,2,0,0,3,0,0,3,0,4,0,0,2,2,3,0,3,4,9,False,True,True,False,False,False,46.5,87.5,Strong,16.2,63.8,70.0,77.5,53.8,37.3,0.373,Low,True
39,4,0,4,2,4,4,1,4,4,3,1,4,4,0,0,3,2,3,2,0,10,False,True,True,False,False,False,51.7,96.2,Strong,65.0,28.8,93.8,43.8,58.9,36.9,0.369,Low,True
40,4,1,0,2,4,0,2,0,0,3,1,3,4,0,1,1,1,1,3,4,11,True,True,True,True,False,False,72.1,100.0,Strong,86.2,58.8,85.0,56.2,73.1,43.9,0.439,Moderate,True
41,2,4,4,3,4,4,2,4,0,1,2,0,0,0,3,0,2,2,1,0,9,True,True,True,False,False,False,53.6,100.0,Strong,32.5,21.2,30.0,25.0,27.6,16.6,0.166,Low,True
42,2,3,4,3,4,4,3,4,4,2,2,0,0,4,3,2,3,2,3,4,7,False,True,False,False,True,False,8.2,0.0,Weak,36.2,42.5,15.0,67.5,38.8,63.3,0.633,Moderate,True
43,2,2,4,2,4,4,3,0,0,2,0,3,4,0,1,3,2,2,4,4,10,True,True,True,False,False,False,59.5,100.0,Strong,45.0,37.5,91.2,73.8,60.4,36.2,0.362,Low,True
44,4,1,0,1,4,0,4,0,4,3,3,0,0,4,2,1,2,1,3,4,8,True,True,False,False,False,False,45.6,86.0,Strong,91.2,88.8,11.2,61.2,64.6,44.4,0.444,Moderate,True
45,4,2,0,2,4,0,3,0,4,0,4,2,0,4,3,0,2,4,1,0,8,True,True,False,False,False,True,31.9,53.2,Moderate,82.5,95.0,15.0,15.0,55.2,51.8,0.518,Moderate,True
46,2,2,0,1,0,4,1,4,0,4,1,2,0,0,2,1,0,3,2,4,11,False,True,True,True,False,False,67.0,100.0,Strong,60.0,5.0,51.2,36.2,39.3,23.6,0.236,Low,True
47,3,2,0,0,4,4,1,4,4,3,1,1,0,0,2,2,1,2,1,0,8,False,True,False,False,False,False,37.6,67.7,Moderate,86.2,28.8,45.0,32.5,50.8,43.4,0.434,Moderate,True
48,2,2,0,2,4,4,1,4,0,1,2,2,4,4,1,2,4,1,3,0,9,True,True,False,False,True,False,12.8,11.3,Weak,70.0,16.2,57.5,62.5,51.9,66.6,0.666,Moderate,True
49,3,3,0,1,4,4,1,0,4,3,2,0,0,0,3,1,1,3,3,4,8,True,True,False,True,True,False,12.8,16.3,Weak,77.5,43.8,30.0,46.2,50.9,64.0,0.64,Moderate,True
50,2,3,0,1,4,4,1,0,0,3,4,0,0,0,4,2,0,4,2,4,10,False,True,True,False,True,False,12.9,11.5,Weak,71.2,23.8,15.0,37.5,38.6,58.6,0.586,Moderate,True
51,0,3,4,3,4,0,1,4,0,2,2,4,4,4,1,3,2,2,1,4,9,True,True,False,True,True,False,14.4,19.0,Weak,23.8,42.5,70.0,58.8,47.0,60.6,0.606,Moderate,True
52,1,3,4,0,0,4,1,4,4,0,2,2,4,4,2,3,3,1,3,4,4,False,True,False,False,True,True,3.3,0.0,Weak,30.0,40.0,55.0,78.8,48.5,69.1,0.691,Moderate,True
53,3,1,0,1,4,0,2,0,4,0,1,3,4,0,3,2,2,3,2,4,7,True,True,False,False,True,False,10.0,0.0,Weak,85.0,90.0,80.0,52.5,78.5,87.1,0.871,High,True
54,1,3,4,0,4,0,2,4,0,3,4,2,0,0,1,2,3,0,3,0,4,False,True,False,False,True,True,3.3,0.0,Weak,45.0,43.8,35.0,62.5,45.7,67.4,0.674,Moderate,True
55,0,2,4,2,0,4,2,4,0,3,0,3,4,0,0,3,3,2,3,0,9,True,True,False,False,False,False,51.3,95.5,Strong,17.5,13.8,93.8,58.8,43.9,28.1,0.281,Low,True
56,2,0,0,2,4,0,2,0,4,3,4,3,4,4,2,3,3,0,3,4,9,True,True,True,False,False,True,37.5,67.5,Moderate,77.5,78.8,48.8,83.8,71.9,56.1,0.561,Moderate,True
57,3,1,0,1,4,4,3,0,4,1,3,2,0,4,3,3,3,2,3,0,8,False,True,True,False,False,True,29.0,48.3,Moderate,85.0,61.2,21.2,58.8,57.9,55.4,0.554,Moderate,True
58,1,3,4,3,0,4,1,0,4,4,2,2,0,4,2,1,3,2,1,4,9,True,True,False,True,True,False,14.4,19.0,Weak,15.0,40.0,30.0,51.2,32.2,51.7,0.517,Moderate,True
59,3,0,4,0,0,0,3,0,4,1,0,2,4,4,4,2,4,1,3,0,10,False,True,True,False,False,False,51.7,96.2,Strong,53.8,91.2,62.5,62.5,67.1,41.8,0.418,Moderate,True
60,1,3,4,4,4,4,2,4,0,4,3,0,0,0,3,0,2,3,2,0,14,False,True,False,False,False,True,46.1,71.8,Strong,25.0,10.0,23.8,25.0,20.9,23.8,0.238,Low,True
61,4,1,0,1,4,0,3,0,4,0,0,4,4,0,0,4,4,0,4,4,8,False,True,True,False,True,False,10.3,7.2,Weak,91.2,95.0,100.0,100.0,96.1,94.8,0.948,High,True
62,2,4,0,3,0,0,2,0,4,1,3,0,4,4,3,2,4,1,4,0,10,True,True,True,False,False,False,59.5,100.0,Strong,42.5,86.2,33.8,67.5,56.2,33.7,0.337,Low,True
63,3,1,0,2,4,0,3,0,4,2,1,3,0,4,2,2,3,1,1,4,12,True,True,False,False,False,True,47.9,79.8,Strong,80.0,87.5,42.5,62.5,69.0,49.5,0.495,Moderate,True
64,1,2,4,2,4,0,0,0,0,3,3,1,0,0,3,2,3,1,3,4,8,False,True,False,False,False,True,26.3,38.8,Weak,38.8,48.8,30.0,72.5,45.8,52.0,0.52,Moderate,True
65,1,1,0,2,0,0,3,4,0,2,3,0,0,4,3,2,2,2,3,4,7,True,True,True,True,False,False,45.9,81.5,Strong,52.5,52.5,8.8,62.5,43.6,33.6,0.336,Low,True
66,1,3,0,1,4,4,2,4,0,2,3,1,0,0,2,1,3,3,1,0,8,False,True,False,False,False,False,37.6,67.7,Moderate,65.0,17.5,32.5,31.2,38.2,35.8,0.358,Low,True
67,3,0,4,1,4,4,4,0,4,1,0,2,0,4,2,4,1,2,3,0,9,True,True,True,False,True,False,13.4,17.3,Weak,63.8,66.2,42.5,55.0,57.3,67.5,0.675,Moderate,True
68,2,0,0,3,4,4,1,0,4,2,0,2,4,0,2,2,4,2,2,4,11,False,True,True,False,False,False,56.9,100.0,Strong,72.5,47.5,82.5,67.5,67.8,40.7,0.407,Moderate,True
69,1,4,4,2,4,4,1,4,4,4,3,2,0,4,3,0,2,2,1,4,11,True,True,True,False,False,True,45.8,81.3,Strong,31.2,25.0,21.2,40.0,28.9,24.8,0.248,Low,True
70,2,1,0,1,4,0,2,0,0,2,4,2,0,0,2,3,3,0,4,4,6,False,True,False,True,False,False,35.1,53.5,Moderate,78.8,62.5,32.5,88.8,65.1,57.7,0.577,Moderate,True
71,3,1,0,0,0,0,4,4,4,0,0,2,4,0,2,2,2,1,3,4,4,True,True,False,False,False,False,22.8,33.0,Weak,75.0,85.0,82.5,67.5,77.9,73.5,0.735,High,True
72,3,2,4,0,4,4,0,0,0,3,1,3,4,0,0,2,1,3,2,0,5,False,True,False,False,True,False,5.9,0.0,Weak,61.2,18.8,87.5,32.5,51.4,70.8,0.708,High,True
73,4,0,0,0,4,0,3,4,0,1,0,3,4,0,1,3,4,0,4,4,8,False,True,False,False,False,True,26.3,38.8,Weak,100.0,56.2,91.2,93.8,85.6,75.8,0.758,High,True
74,3,2,0,1,0,4,3,0,4,1,2,3,4,4,3,1,2,1,1,4,6,False,True,True,False,False,False,31.0,46.7,Moderate,66.2,61.2,58.8,51.2,60.1,57.4,0.574,Moderate,True
75,2,3,4,0,4,4,3,4,0,0,2,1,4,0,1,1,2,2,2,4,4,False,True,True,False,True,False,5.2,0.0,Weak,51.2,30.0,66.2,51.2,49.7,69.8,0.698,Moderate,True
76,1,3,4,2,0,4,1,4,0,3,1,3,4,0,1,3,2,3,1,4,9,True,True,False,False,False,False,51.3,95.5,Strong,20.0,8.8,85.0,53.8,40.2,25.9,0.259,Low,True
77,2,1,4,0,4,0,0,0,4,1,2,1,4,0,2,1,1,2,1,0,5,True,True,False,False,True,False,7.1,0.0,Weak,58.8,76.2,63.8,26.2,57.9,74.7,0.747,High,True
78,1,3,4,2,0,0,3,4,4,1,0,4,4,0,0,3,3,3,3,4,5,False,True,False,True,False,False,29.3,43.8,Moderate,20.0,76.2,100.0,68.8,63.8,60.8,0.608,Moderate,True
79,3,1,0,2,0,0,1,4,0,2,2,1,0,0,1,1,3,0,4,4,9,True,True,True,False,False,True,37.5,67.5,Moderate,65.0,42.5,41.2,76.2,55.7,46.4,0.464,Moderate,True
80,4,1,0,0,4,4,2,0,4,2,1,3,4,4,2,2,1,2,2,4,6,False,True,True,False,True,False,7.8,0.0,Weak,96.2,52.5,67.5,52.5,69.4,81.6,0.816,High,True
81,2,0,4,4,4,4,1,4,0,3,3,0,4,0,3,2,1,3,2,0,15,True,True,True,True,False,False,98.3,100.0,Strong,42.5,8.8,48.8,32.5,33.6,20.2,0.202,Low,True
82,3,0,0,1,0,0,4,0,4,0,0,3,0,0,0,4,4,1,2,4,8,False,True,False,False,True,True,6.6,0.0,Weak,73.8,100.0,68.8,85.0,81.3,88.8,0.888,High,True
83,3,1,4,2,0,4,3,4,4,1,2,1,4,0,2,2,2,3,2,0,10,False,True,True,False,True,False,12.9,11.5,Weak,40.0,46.2,63.8,37.5,47.0,63.6,0.636,Moderate,True
84,3,1,4,1,0,4,2,4,4,1,1,3,4,4,1,3,3,0,3,0,8,True,True,True,False,False,False,47.6,94.3,Strong,45.0,41.2,70.0,68.8,55.1,35.3,0.353,Low,True
85,3,1,0,0,0,4,4,0,4,2,0,3,4,0,0,3,4,1,4,4,5,False,True,False,False,False,True,16.5,7.5,Weak,75.0,62.5,93.8,88.8,79.3,84.6,0.846,High,True
86,2,1,0,3,0,4,2,0,0,2,3,1,4,4,2,2,2,3,3,0,9,True,True,True,True,False,False,59.0,100.0,Strong,53.8,32.5,42.5,42.5,43.4,26.0,0.26,Low,True
87,2,0,0,1,0,0,2,0,0,2,1,3,4,0,1,4,3,0,3,4,10,False,True,True,False,False,False,51.7,96.2,Strong,67.5,62.5,85.0,90.0,75.1,46.6,0.466,Moderate,True
88,1,1,4,3,4,0,4,0,4,1,4,2,0,4,3,1,3,1,3,4,12,True,True,False,True,False,False,76.7,100.0,Strong,37.5,96.2,15.0,66.2,52.3,31.4,0.314,Low,True
89,4,1,0,0,4,4,0,0,0,2,2,2,0,0,0,0,0,4,2,0,4,False,True,True,False,True,False,5.2,0.0,Weak,96.2,22.5,50.0,10.0,49.0,69.4,0.694,Moderate,True
90,4,1,0,1,4,0,3,0,4,1,1,3,4,0,3,3,3,1,4,0,5,False,True,False,False,False,False,23.5,29.2,Weak,91.2,91.2,80.0,68.8,83.9,78.7,0.787,High,True
91,1,4,0,3,0,4,2,0,4,3,2,1,0,4,3,2,1,2,1,0,8,True,True,False,True,False,False,51.1,100.0,Strong,36.2,48.8,21.2,32.5,34.9,20.9,0.209,Low,True
92,0,2,4,4,0,4,2,4,0,3,2,2,0,0,4,1,3,2,2,4,14,True,True,True,False,False,False,83.4,100.0,Strong,7.5,13.8,40.0,56.2,26.9,16.1,0.161,Low,True
93,2,1,4,0,4,0,3,0,4,2,3,2,0,0,4,0,3,1,2,4,4,False,True,True,False,False,True,14.5,9.2,Weak,58.8,87.5,33.8,55.0,58.9,71.7,0.717,High,True
94,3,1,0,1,4,4,1,0,4,2,0,1,4,0,0,3,2,3,2,4,10,False,True,False,False,True,False,11.8,4.7,Weak,85.0,47.5,81.2,58.8,69.4,79.8,0.798,High,True
95,4,1,0,0,4,0,3,0,4,1,0,3,4,0,0,3,2,3,1,4,7,False,True,False,False,False,False,32.9,44.8,Moderate,96.2,91.2,93.8,53.8,85.9,73.6,0.736,High,True
96,3,1,0,2,0,4,2,0,0,2,0,3,4,0,0,1,2,2,2,4,9,True,True,False,False,False,False,51.3,95.5,Strong,65.0,32.5,93.8,51.2,61.3,38.6,0.386,Low,True
97,2,2,4,3,0,0,2,0,0,2,1,2,4,4,0,3,2,0,3,4,9,True,True,True,False,False,False,53.6,100.0,Strong,25.0,62.5,66.2,78.8,55.4,33.2,0.332,Low,True
98,2,1,0,1,4,0,2,0,4,1,0,2,4,0,2,3,4,1,2,4,10,True,True,False,False,False,False,57.0,100.0,Strong,78.8,86.2,82.5,78.8,81.6,49.0,0.49,Moderate,True
99,1,2,0,3,4,4,1,4,0,4,4,0,0,4,4,2,0,2,1,4,11,True,True,True,True,False,False,72.1,100.0,Strong,58.8,5.0,0.0,42.5,27.4,16.4,0.164,Low,True
100,3,1,4,1,4,0,2,0,4,1,1,2,4,0,2,4,3,0,4,0,4,False,True,True,False,True,False,5.2,0.0,Weak,60.0,86.2,76.2,80.0,74.6,84.8,0.848,High,True
101,3,0,0,2,4,4,1,4,0,2,3,1,4,0,1,3,1,3,1,0,6,True,True,True,True,False,False,39.3,70.5,Strong,83.8,12.5,60.0,33.8,50.0,41.8,0.418,Moderate,True
102,1,3,4,2,0,4,1,0,4,2,1,3,4,4,2,4,0,1,2,0,5,False,True,True,True,False,False,30.4,50.7,Moderate,20.0,47.5,67.5,50.0,44.8,46.6,0.466,Moderate,True
103,3,1,0,1,4,4,2,0,4,0,3,1,4,0,3,3,0,2,2,4,11,True,True,True,True,True,False,18.0,30.0,Weak,85.0,60.0,55.0,53.8,65.0,67.0,0.67,Moderate,True
104,2,4,4,2,4,4,3,0,0,3,4,0,0,4,3,2,1,4,2,0,12,True,True,True,True,False,False,78.7,100.0,Strong,37.5,33.8,2.5,27.5,25.8,15.5,0.155,Low,True
105,2,3,4,2,0,0,3,0,4,3,1,2,4,0,0,1,3,1,2,4,11,True,True,True,False,False,False,65.5,100.0,Strong,26.2,83.8,81.2,61.2,61.4,36.8,0.368,Low,True
106,3,3,0,3,0,0,3,4,0,2,2,2,0,0,2,3,3,2,3,0,10,True,True,True,True,False,False,65.5,100.0,Strong,52.5,52.5,45.0,58.8,51.9,31.1,0.311,Low,True
107,4,0,0,0,0,4,4,0,4,2,2,4,4,0,0,2,1,1,2,4,4,True,True,True,False,False,False,23.8,39.7,Weak,85.0,62.5,87.5,57.5,74.5,68.8,0.688,Moderate,True
108,3,2,4,3,0,4,2,0,0,2,0,3,0,0,0,3,3,0,4,4,8,True,True,True,False,False,False,47.6,94.3,Strong,31.2,32.5,68.8,88.8,52.4,33.7,0.337,Low,True
109,2,3,4,3,0,0,3,4,0,3,3,3,4,4,1,2,3,3,0,4,8,True,True,True,False,False,False,47.6,94.3,Strong,21.2,48.8,57.5,47.5,42.4,27.7,0.277,Low,True
110,4,1,0,1,0,4,4,0,0,2,0,4,4,0,0,3,3,0,3,4,8,False,True,False,False,False,False,37.6,67.7,Moderate,76.2,42.5,100.0,83.8,75.2,58.0,0.58,Moderate,True
111,1,1,4,2,4,0,2,0,4,2,1,3,4,4,0,1,2,1,1,0,12,True,True,False,False,False,False,68.4,100.0,Strong,42.5,82.5,72.5,36.2,58.8,35.3,0.353,Low,True
112,3,2,0,2,0,4,0,4,0,3,4,1,0,4,4,2,4,3,0,0,12,True,True,True,False,False,True,50.0,88.3,Strong,61.2,3.8,6.2,37.5,28.4,21.7,0.217,Low,True
113,2,3,4,1,0,0,4,0,4,1,3,1,4,4,2,4,2,1,3,4,7,False,True,False,False,True,False,8.2,0.0,Weak,31.2,96.2,42.5,80.0,60.1,76.1,0.761,High,True
114,4,0,0,1,4,4,2,0,4,2,0,2,4,0,2,4,3,0,4,4,4,True,True,False,False,False,True,16.0,11.7,Weak,95.0,52.5,82.5,95.0,81.2,84.0,0.84,High,True
115,1,4,4,2,0,4,1,0,0,3,2,3,4,4,0,3,3,2,2,4,6,True,True,False,True,True,False,9.6,0.0,Weak,16.2,23.8,66.2,68.8,41.1,64.7,0.647,Moderate,True
116,4,1,4,1,4,0,3,0,0,1,2,3,4,4,0,2,4,3,4,4,10,False,True,True,False,True,True,9.0,0.0,Weak,66.2,71.2,66.2,72.5,68.8,81.3,0.813,High,True
117,3,3,0,4,4,4,1,4,0,3,3,1,0,4,2,2,1,2,1,4,12,True,True,True,False,False,False,71.5,100.0,Strong,62.5,8.8,17.5,47.5,34.8,20.9,0.209,Low,True
118,3,3,0,0,0,4,1,0,0,3,4,3,4,4,1,3,2,1,3,4,6,False,True,False,False,True,False,7.1,0.0,Weak,67.5,23.8,51.2,73.8,53.8,72.3,0.723,High,True
119,1,3,4,3,0,4,0,4,0,4,4,0,0,4,3,0,1,3,1,4,9,False,True,True,False,False,False,46.5,87.5,Strong,15.0,0.0,2.5,30.0,11.1,11.7,0.117,Low,True
120,1,2,4,1,4,0,2,0,4,2,2,2,4,4,3,3,4,1,3,0,6,True,True,False,True,False,False,38.4,64.0,Moderate,43.8,82.5,52.5,68.8,60.6,50.8,0.508,Moderate,True
121,2,1,0,3,0,4,3,0,4,0,3,3,0,4,0,3,3,1,3,4,7,True,True,False,True,False,True,31.3,42.2,Moderate,53.8,65.0,35.0,78.8,56.9,57.3,0.573,Moderate,True
122,3,2,0,4,0,4,2,0,0,3,2,4,4,0,1,1,0,4,0,0,16,False,True,True,True,False,False,97.4,100.0,Strong,51.2,28.8,85.0,6.2,45.1,27.1,0.271,Low,True
123,3,2,4,3,0,4,3,0,4,1,0,3,4,0,1,4,3,1,4,4,14,True,True,True,True,False,True,64.2,100.0,Strong,31.2,61.2,91.2,90.0,65.5,39.3,0.393,Low,True
124,0,3,4,3,0,4,0,4,0,4,3,2,4,0,2,0,1,4,0,4,8,True,True,True,False,False,False,47.6,94.3,Strong,8.8,0.0,63.8,20.0,22.6,15.8,0.158,Low,True
125,1,3,4,3,4,4,2,4,0,4,4,1,4,4,3,3,3,1,4,4,6,False,True,True,False,False,False,31.0,46.7,Moderate,30.0,10.0,33.8,83.8,36.7,43.3,0.433,Moderate,True
126,2,4,0,2,0,0,3,0,4,2,1,2,4,4,3,4,1,3,3,4,9,False,True,False,False,True,False,10.6,2.7,Weak,47.5,87.5,58.8,65.0,63.8,77.2,0.772,High,True
127,1,3,0,1,0,0,1,0,0,3,3,1,0,4,4,1,3,2,3,4,7,True,True,False,False,True,False,10.0,0.0,Weak,50.0,53.8,12.5,61.2,43.8,66.3,0.663,Moderate,True
128,3,1,0,2,4,0,3,0,0,2,0,4,0,0,1,4,4,1,3,4,10,True,True,True,True,False,False,65.5,100.0,Strong,80.0,67.5,72.5,90.0,77.0,46.2,0.462,Moderate,True
129,3,1,0,3,4,0,2,4,0,3,0,2,0,0,1,1,1,2,1,0,12,True,True,False,True,False,False,76.7,100.0,Strong,75.0,43.8,60.0,26.2,53.7,32.2,0.322,Low,True
130,4,0,0,1,4,0,2,0,4,1,1,3,4,0,0,3,4,0,4,0,5,True,True,True,False,False,False,29.8,49.7,Moderate,95.0,86.2,87.5,78.8,87.7,72.7,0.727,High,True
131,2,3,0,2,0,4,2,0,0,1,0,1,4,0,3,4,2,0,2,4,12,True,True,True,False,False,False,71.5,100.0,Strong,51.2,36.2,73.8,80.0,58.9,35.3,0.353,Low,True
132,3,1,4,2,4,0,4,0,0,0,2,4,4,4,1,3,3,0,3,4,8,False,True,True,False,False,False,41.4,79.0,Strong,55.0,80.0,70.0,83.8,70.8,50.9,0.509,Moderate,True
